Pais,TipoEnergia,Indicador,Anio,Valor_PJ,País,Precio elec. €/kWh,Consumo_kWh,Coste_estimado_€
France,Total,Total final consumption (PJ),2012,6665.0,France,1446.5,1851388888888.889,2678034027777778.0
Italy,"Coal, peat and oil shale",Total final consumption (PJ),2012,95.0,Italy,2214.5,26388888888.88889,58438194444444.445
Italy,"Crude, NGL and feedstocks",Total final consumption (PJ),2012,0.0,Italy,2214.5,0.0,0.0
Italy,Oil products,Total final consumption (PJ),2012,2073.0,Italy,2214.5,575833333333.3334,1275182916666666.8
Italy,Natural gas,Total final consumption (PJ),2012,1500.0,Italy,2214.5,416666666666.6667,922708333333333.4
Italy,Nuclear,Total final consumption (PJ),2012,0.0,Italy,2214.5,0.0,0.0
Italy,Renewables and waste,Total final consumption (PJ),2012,371.0,Italy,2214.5,103055555555.55556,228216527777777.78
Italy,Electricity,Total final consumption (PJ),2012,1068.0,Italy,2214.5,296666666666.6667,656968333333333.4
Italy,Heat,Total final consumption (PJ),2012,144.0,Italy,2214.5,40000000000.0,88580000000000.0
Italy,Total,Total final consumption (PJ),2012,5251.0,Italy,2214.5,1458611111111.111,3230094305555555.5
France,"Coal, peat and oil shale",Total final consumption (PJ),2013,103.0,France,1560.0,28611111111.11111,44633333333333.336
France,"Crude, NGL and feedstocks",Total final consumption (PJ),2013,0.0,France,1560.0,0.0,0.0
France,Oil products,Total final consumption (PJ),2013,2941.0,France,1560.0,816944444444.4445,1274433333333333.2
France,Natural gas,Total final consumption (PJ),2013,1437.0,France,1560.0,399166666666.6667,622700000000000.0
France,Nuclear,Total final consumption (PJ),2013,0.0,France,1560.0,0.0,0.0
France,Renewables and waste,Total final consumption (PJ),2013,533.0,France,1560.0,148055555555.55557,230966666666666.7
France,Electricity,Total final consumption (PJ),2013,1623.0,France,1560.0,450833333333.3334,703300000000000.1
France,Heat,Total final consumption (PJ),2013,133.0,France,1560.0,36944444444.44444,57633333333333.33
France,Total,Total final consumption (PJ),2013,6771.0,France,1560.0,1880833333333.3335,2934100000000000.5
Italy,"Coal, peat and oil shale",Total final consumption (PJ),2013,68.0,Italy,2307.5,18888888888.88889,43586111111111.11
Italy,"Crude, NGL and feedstocks",Total final consumption (PJ),2013,0.0,Italy,2307.5,0.0,0.0
Italy,Oil products,Total final consumption (PJ),2013,1948.0,Italy,2307.5,541111111111.11115,1248613888888889.0
Italy,Natural gas,Total final consumption (PJ),2013,1494.0,Italy,2307.5,415000000000.0,957612500000000.0
Italy,Nuclear,Total final consumption (PJ),2013,0.0,Italy,2307.5,0.0,0.0
Italy,Renewables and waste,Total final consumption (PJ),2013,368.0,Italy,2307.5,102222222222.22223,235877777777777.78
Italy,Electricity,Total final consumption (PJ),2013,1035.0,Italy,2307.5,287500000000.0,663406250000000.0
Italy,Heat,Total final consumption (PJ),2013,155.0,Italy,2307.5,43055555555.55556,99350694444444.45
Italy,Total,Total final consumption (PJ),2013,5067.0,Italy,2307.5,1407500000000.0,3247806250000000.0
France,"Coal, peat and oil shale",Total final consumption (PJ),2014,103.0,France,1643.5,28611111111.11111,47022361111111.11
France,"Crude, NGL and feedstocks",Total final consumption (PJ),2014,0.0,France,1643.5,0.0,0.0
France,Oil products,Total final consumption (PJ),2014,2893.0,France,1643.5,803611111111.1112,1320734861111111.2
France,Natural gas,Total final consumption (PJ),2014,1215.0,France,1643.5,337500000000.0,554681250000000.0
France,Nuclear,Total final consumption (PJ),2014,0.0,France,1643.5,0.0,0.0
France,Renewables and waste,Total final consumption (PJ),2014,481.0,France,1643.5,133611111111.11111,219589861111111.12
France,Electricity,Total final consumption (PJ),2014,1531.0,France,1643.5,425277777777.7778,698944027777777.8
France,Heat,Total final consumption (PJ),2014,117.0,France,1643.5,32500000000.0,53413750000000.0
France,Total,Total final consumption (PJ),2014,6339.0,France,1643.5,1760833333333.3335,2893929583333333.5
Italy,"Coal, peat and oil shale",Total final consumption (PJ),2014,58.0,Italy,2392.0,16111111111.111113,38537777777777.78
Italy,"Crude, NGL and feedstocks",Total final consumption (PJ),2014,0.0,Italy,2392.0,0.0,0.0
Italy,Oil products,Total final consumption (PJ),2014,2003.0,Italy,2392.0,556388888888.8889,1330882222222222.2
Italy,Natural gas,Total final consumption (PJ),2014,1315.0,Italy,2392.0,365277777777.7778,873744444444444.4
Italy,Nuclear,Total final consumption (PJ),2014,0.0,Italy,2392.0,0.0,0.0
Italy,Renewables and waste,Total final consumption (PJ),2014,323.0,Italy,2392.0,89722222222.22223,214615555555555.56
Italy,Electricity,Total final consumption (PJ),2014,1013.0,Italy,2392.0,281388888888.8889,673082222222222.2
Italy,Heat,Total final consumption (PJ),2014,157.0,Italy,2392.0,43611111111.111115,104317777777777.78
Italy,Total,Total final consumption (PJ),2014,4869.0,Italy,2392.0,1352500000000.0,3235180000000000.0
France,"Coal, peat and oil shale",Total final consumption (PJ),2015,95.0,France,1679.0,26388888888.88889,44306944444444.445
France,"Crude, NGL and feedstocks",Total final consumption (PJ),2015,0.0,France,1679.0,0.0,0.0
France,Oil products,Total final consumption (PJ),2015,2895.0,France,1679.0,804166666666.6667,1350195833333333.5
France,Natural gas,Total final consumption (PJ),2015,1247.0,France,1679.0,346388888888.8889,581586944444444.5
France,Nuclear,Total final consumption (PJ),2015,0.0,France,1679.0,0.0,0.0
France,Renewables and waste,Total final consumption (PJ),2015,504.0,France,1679.0,140000000000.0,235060000000000.0
France,Electricity,Total final consumption (PJ),2015,1566.0,France,1679.0,435000000000.0,730365000000000.0
France,Heat,Total final consumption (PJ),2015,130.0,France,1679.0,36111111111.111115,60630555555555.56
France,Total,Total final consumption (PJ),2015,6437.0,France,1679.0,1788055555555.5557,3002145277777778.0
Italy,"Coal, peat and oil shale",Total final consumption (PJ),2015,40.0,Italy,2439.0,11111111111.11111,27100000000000.0
Italy,"Crude, NGL and feedstocks",Total final consumption (PJ),2015,0.0,Italy,2439.0,0.0,0.0
Italy,Oil products,Total final consumption (PJ),2015,1974.0,Italy,2439.0,548333333333.3334,1337385000000000.0
Italy,Natural gas,Total final consumption (PJ),2015,1405.0,Italy,2439.0,390277777777.7778,951887500000000.0
Italy,Nuclear,Total final consumption (PJ),2015,0.0,Italy,2439.0,0.0,0.0
Italy,Renewables and waste,Total final consumption (PJ),2015,361.0,Italy,2439.0,100277777777.77779,244577500000000.03
Italy,Electricity,Total final consumption (PJ),2015,1035.0,Italy,2439.0,287500000000.0,701212500000000.0
Italy,Heat,Total final consumption (PJ),2015,161.0,Italy,2439.0,44722222222.22222,109077500000000.0
