Pais,TipoEnergia,Indicador,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Spain,"Coal, peat and oil shale",Commercial and public services (PJ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,"Coal, peat and oil shale",Other final consumption (PJ),5,2,2,3,3,2,1,1,4,7,8,5,4,5,5,
Spain,"Crude, NGL and feedstocks",Production (PJ),5,4,5,4,6,16,13,10,6,5,4,2,1,0,0,
Spain,"Crude, NGL and feedstocks",Imports (PJ),2560,2366,2378,2388,2638,2690,2709,2859,2842,2928,2951,2921,2477,2578,2788,
Spain,"Crude, NGL and feedstocks",Exports (PJ),0,0,0,0,-103,-159,-141,-114,-145,-169,-109,-122,-133,-126,-118,
Spain,"Crude, NGL and feedstocks",Total energy supply (PJ),2551,2405,2386,2368,2578,2549,2566,2761,2723,2769,2859,2762,2373,2487,2655,
Spain,"Crude, NGL and feedstocks","Electricity, CHP and heat plants (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,"Crude, NGL and feedstocks","Oil refineries, transformation (PJ)",-2584,-2443,-2460,-2418,-2618,-2582,-2588,-2778,-2779,-2827,-2907,-2815,-2395,-2498,-2698,
Spain,"Crude, NGL and feedstocks",Total final consumption (PJ),1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Spain,"Crude, NGL and feedstocks",Industry (PJ),1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
Spain,"Crude, NGL and feedstocks",Transport (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,"Crude, NGL and feedstocks",Residential (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,"Crude, NGL and feedstocks",Commercial and public services (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,"Crude, NGL and feedstocks",Other final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Oil products,Production (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Oil products,Imports (PJ),1089,1066,994,936,677,590,633,656,748,827,772,767,636,641,700,
Spain,Oil products,Exports (PJ),-429,-464,-483,-544,-709,-755,-743,-838,-882,-965,-942,-867,-818,-803,-727,
Spain,Oil products,Total energy supply (PJ),151,103,30,-92,-489,-569,-625,-722,-624,-556,-643,-605,-527,-467,-544,
Spain,Oil products,"Electricity, CHP and heat plants (PJ)",-167,-165,-145,-134,-139,-123,-130,-148,-142,-134,-123,-108,-90,-84,-90,
Spain,Oil products,"Oil refineries, transformation (PJ)",2558,2418,2433,2393,2583,2546,2537,2743,2735,2771,2847,2749,2345,2458,2627,
Spain,Oil products,Total final consumption (PJ),2309,2135,2092,1940,1751,1669,1611,1683,1758,1792,1833,1836,1570,1730,1777,
Spain,Oil products,Industry (PJ),220,197,205,182,145,111,106,113,118,119,123,120,102,96,86,
Spain,Oil products,Transport (PJ),1501,1384,1343,1255,1127,1112,1118,1160,1203,1241,1256,1274,1002,1175,1260,
Spain,Oil products,Residential (PJ),148,139,140,121,115,115,112,125,115,110,115,99,101,102,102,
Spain,Oil products,Commercial and public services (PJ),61,60,59,56,59,62,50,44,53,53,56,52,45,50,50,
Spain,Oil products,Other final consumption (PJ),379,356,345,326,305,269,224,241,269,268,283,292,320,307,279,
Spain,Natural gas,Production (PJ),1,1,2,2,2,2,1,2,2,1,3,5,2,1,1,
Spain,Natural gas,Imports (PJ),1477,1330,1338,1293,1277,1293,1325,1180,1180,1261,1268,1355,1183,1347,1446,
Spain,Natural gas,Exports (PJ),-2,-37,-42,-62,-102,-212,-299,-184,-145,-105,-118,-41,-43,-110,-221,
Spain,Natural gas,Total energy supply (PJ),1462,1307,1303,1211,1196,1095,991,1027,1048,1142,1134,1294,1169,1232,1186,
Spain,Natural gas,"Electricity, CHP and heat plants (PJ)",-755,-682,-612,-548,-466,-356,-291,-346,-339,-416,-376,-534,-446,-459,-570,
Spain,Natural gas,"Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Natural gas,Total final consumption (PJ),631,560,621,607,628,639,619,559,578,586,619,625,597,642,549,
Spain,Natural gas,Industry (PJ),391,315,325,322,354,378,367,309,332,338,352,360,337,368,295,
Spain,Natural gas,Transport (PJ),4,4,5,5,5,6,6,6,7,8,8,9,9,12,15,
Spain,Natural gas,Residential (PJ),151,153,178,143,147,134,130,139,140,139,153,145,145,152,131,
Spain,Natural gas,Commercial and public services (PJ),34,37,42,72,68,62,59,73,75,77,80,83,80,86,78,
Spain,Natural gas,Other final consumption (PJ),51,50,70,64,54,59,58,33,25,25,26,28,26,24,31,
Spain,Nuclear,Production (PJ),643,576,676,630,671,619,625,624,640,633,608,637,636,617,639,
Spain,Nuclear,Imports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Nuclear,Exports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,Nuclear,Total energy supply (PJ),643,576,676,630,671,619,625,624,640,633,608,637,636,617,639,
